id,lon,lat
pt_ll_337,3.040000000000001,5.76
pt_ll_338,3.2797600000000013,5.76
pt_ll_339,3.4000000000000012,5.76
pt_ll_340,3.2797600000000013,5.76
pt_ll_341,3.2797600000000013,5.76
pt_ll_342,3.520240000000001,5.76
pt_ll_343,3.6397600000000008,5.76
pt_ll_344,3.4000000000000012,5.76
pt_ll_345,-0.5599999999999987,2.16
pt_ll_346,1.240000000000002,3.5999999999999996
pt_ll_347,1.240000000000002,3.5999999999999996
pt_ll_348,1.360240000000001,3.5999999999999996
pt_ll_349,1.240000000000002,3.5999999999999996
pt_ll_350,1.1197600000000012,3.5999999999999996
pt_ll_351,5.5600000000000005,7.92
pt_ll_352,1.240000000000002,3.5999999999999996
pt_ll_353,1.360240000000001,3.5999999999999996
pt_ll_354,1.360240000000001,3.5999999999999996
pt_ll_355,1.1197600000000012,3.5999999999999996
pt_ll_356,1.0600000000000005,3.5999999999999996
pt_ll_357,1.360240000000001,3.5999999999999996
pt_ll_358,1.7800000000000011,4.32
pt_ll_359,1.9600000000000009,4.32
pt_ll_360,2.1400000000000006,4.32
pt_ll_361,3.2200000000000006,5.76
pt_ll_362,3.7600000000000007,6.4799999999999995
pt_ll_363,4.719760000000001,7.199999999999999
pt_ll_364,5.4397600000000015,7.92
pt_ll_365,5.74,7.92
pt_ll_366,5.920000000000002,8.64
pt_ll_367,6.640000000000001,9.36
pt_ll_368,6.760240000000001,9.36
pt_ll_369,7.0,9.36
pt_ll_370,7.1800000000000015,9.36
pt_ll_371,7.599760000000002,10.08
pt_ll_372,8.20024,10.799999999999999
pt_ll_373,8.20024,10.799999999999999
pt_ll_374,11.91976,14.399999999999999
pt_ll_375,9.520000000000001,12.24
pt_ll_5763,5.920000000000002,8.64
pt_ll_376,5.920000000000002,8.64
pt_ll_377,6.040240000000001,8.64
pt_ll_378,6.100000000000001,8.64
pt_ll_379,6.58024,8.64
pt_ll_380,6.280000000000001,8.64
pt_ll_381,6.40024,8.64
pt_ll_382,6.640000000000001,9.36
pt_ll_383,7.0,9.36
pt_ll_384,7.360000000000001,10.08
pt_ll_385,7.840240000000001,10.08
pt_ll_386,8.08,10.799999999999999
pt_ll_387,8.620000000000001,10.799999999999999
pt_ll_388,8.74024,10.799999999999999
pt_ll_389,8.440000000000001,10.799999999999999
pt_ll_390,8.8,11.52
pt_ll_391,7.360000000000001,10.08
pt_ll_392,6.280000000000001,8.64
pt_ll_393,9.03976,11.52
pt_ll_394,9.399759999999999,11.52
pt_ll_395,9.700000000000001,12.24
pt_ll_396,9.88,12.24
pt_ll_397,10.11976,12.24
pt_ll_398,10.600000000000001,12.959999999999999
pt_ll_399,10.24,12.959999999999999
pt_ll_400,10.42,12.959999999999999
pt_ll_401,10.600000000000001,12.959999999999999
pt_ll_402,10.780000000000001,12.959999999999999
pt_ll_403,10.96,13.68
pt_ll_404,11.32,13.68
pt_ll_405,11.91976,14.399999999999999
pt_ll_5764,3.7600000000000007,6.4799999999999995
pt_ll_5765,5.5600000000000005,7.92
pt_ll_5766,7.840240000000001,10.08
pt_ll_5767,8.8,11.52
pt_ll_5768,7.360000000000001,10.08
pt_ll_5769,7.599760000000002,10.08
pt_ll_5770,5.920000000000002,8.64
pt_ll_5771,7.360000000000001,10.08
pt_ll_406,1.4200000000000017,3.5999999999999996
pt_ll_407,1.7202400000000004,4.32
pt_ll_408,3.2200000000000006,5.76
pt_ll_409,3.4000000000000012,5.76
pt_ll_410,3.999760000000001,6.4799999999999995
pt_ll_411,4.60024,7.199999999999999
pt_ll_412,4.60024,7.199999999999999
pt_ll_413,2.320000000000001,5.04
pt_ll_414,1.8397600000000018,4.32
pt_ll_415,2.320000000000001,5.04
pt_ll_416,3.2797600000000013,5.76
pt_ll_417,3.6397600000000008,5.76
pt_ll_418,1.9002400000000002,4.32
pt_ll_5648,2.620240000000001,5.04
pt_ll_419,1.8397600000000018,4.32
pt_ll_420,2.6800000000000006,5.04
pt_ll_421,2.5597600000000007,5.04
pt_ll_422,3.4000000000000012,5.76
pt_ll_423,3.4000000000000012,5.76
pt_ll_424,5.200000000000001,7.92
pt_ll_425,5.200000000000001,7.92
